date,tweet,user
2014-03-29,0,k
2016-07-17,7895,k
2016-08-02,8166,k
2016-08-07,8251,k
2016-08-11,8346,k
2016-08-15,8421,k
2016-08-20,8525,k
2016-08-25,8565,k
2016-08-28,8583,k
2016-09-01,8648,k
2015-08-23,0,t
2016-07-17,5012,t
2016-08-02,5514,t
2016-08-07,5696,t
2016-08-11,5921,t
2016-08-15,6021,t
2016-08-20,6185,t
2016-08-25,6304,t
2016-08-28,6377,t
2016-09-01,6503,t
2016-09-09,8760,k
2016-09-09,6746,t
2016-09-10,8766,k
2016-09-10,6764,t
2016-09-11,8785,k
2016-09-11,6781,t
2016-09-12,8813,k
2016-09-12,6800,t
2016-09-13,8847,k
2016-09-13,6811,t
2016-09-14,8862,k
2016-09-14,6823,t
2016-09-15,8866,k
2016-09-15,6856,t
2016-09-16,8876,k
2016-09-16,6870,t
2016-09-17,8881,k
2016-09-17,6888,t
2016-09-18,8888,k
2016-09-18,6906,t
2016-09-19,8898,k
2016-09-19,6931,t
2016-09-20,8905,k
2016-09-20,6944,t
2016-09-21,8914,k
2016-09-21,6960,t
2016-09-22,8915,k
2016-09-22,6974,t
2016-09-23,8921,k
2016-09-23,6988,t
2016-09-24,8921,k
2016-09-24,6997,t
2016-09-25,8922,k
2016-09-25,7026,t
2016-09-26,8926,k
2016-09-26,7034,t
2016-09-27,8934,k
2016-09-27,7068,t
2016-09-28,8937,k
2016-09-28,7085,t
2016-09-29,8943,k
2016-09-29,7117,t
2016-09-30,8949,k
2016-09-30,7135,t
2016-10-01,8981,k
2016-10-01,7196,t
2016-10-02,8989,k
2016-10-02,7240,t
2016-10-03,9014,k
2016-10-03,7254,t
2016-10-04,9038,k
2016-10-04,7269,t
2016-10-05,9054,k
2016-10-05,7313,t
2016-10-06,9057,k
2016-10-06,7328,t
2016-10-07,9067,k
2016-10-07,7341,t
2016-10-08,9089,k
2016-10-08,7357,t
2016-10-09,9097,k
2016-10-09,7406,t
2016-10-10,9117,k
2016-10-10,7449,t
2016-10-11,9133,k
2016-10-11,7478,t
2016-10-12,9143,k
2016-10-12,7513,t
2016-10-13,9145,k
2016-10-13,7552,t
2016-10-14,9156,k
2016-10-14,7594,t
2016-10-15,9167,k
2016-10-15,7655,t
2016-10-16,9191,k
2016-10-16,7725,t
2016-10-17,9211,k
2016-10-17,7834,t
2016-10-18,9245,k
2016-10-18,7914,t
2016-10-19,9272,k
2016-10-19,7986,t
2016-10-20,9287,k
2016-10-20,8016,t
2016-10-21,9314,k
2016-10-21,8070,t
2016-10-22,9325,k
2016-10-22,8100,t
2016-10-23,9343,k
2016-10-23,8234,t
2016-10-24,9358,k
2016-10-24,8330,t
2016-10-25,9377,k
2016-10-25,8377,t
2016-10-26,9379,k
2016-10-26,8441,t
2016-10-27,9404,k
2016-10-27,8479,t
2016-10-28,9412,k
2016-10-28,8522,t
2016-10-29,9420,k
2016-10-29,8581,t
2016-10-30,9423,k
2016-10-30,8619,t
2016-10-31,9431,k
2016-10-31,8648,t
2016-11-01,9442,k
2016-11-01,8721,t
2016-11-02,9453,k
2016-11-02,8751,t
2016-11-03,9456,k
2016-11-03,8790,t
2016-11-04,9463,k
2016-11-04,8820,t
2016-11-05,9465,k
2016-11-05,8837,t
2016-11-06,9468,k
2016-11-06,8853,t
2016-11-07,9477,k
2016-11-07,8855,t
2016-11-08,9499,k
2016-11-08,8880,t
2016-11-09,9516,k
2016-11-09,8933,t
2016-11-10,9528,k
2016-11-10,8985,t
2016-11-11,9547,k
2016-11-11,9032,t
2016-11-12,9551,k
2016-11-12,9089,t
2016-11-13,9565,k
2016-11-13,9167,t
2016-11-14,9600,k
2016-11-14,9267,t
2016-11-15,9634,k
2016-11-15,9325,t
2016-11-16,9649,k
2016-11-16,9409,t
2016-11-17,9681,k
2016-11-17,9528,t
